,ph,mMacid,E[f(1.25)],E[f(2.00)],E[f(2.75)],E[f(3.50)],E[f(4.25)],E[f(5.00)],E[f(5.75)],E[f(6.50)],E[f(7.25)],E[f(8.00)],E[f(8.75)],E[f(9.50)],E[f(10.25)],E[f(11.00)],E[f(11.75)],E[f(12.50)],E[f(13.25)],E[f(14.00)],E[f(14.75)],E[f(15.50)],E[f(16.25)],E[f(17.00)],E[f(17.75)],E[f(18.50)],E[f(19.25)],E[f(20.00)],E[f(20.75)],E[f(21.50)],E[f(22.25)],E[f(23.00)],E[f(23.75)],std[f(1.25)],std[f(2.00)],std[f(2.75)],std[f(3.50)],std[f(4.25)],std[f(5.00)],std[f(5.75)],std[f(6.50)],std[f(7.25)],std[f(8.00)],std[f(8.75)],std[f(9.50)],std[f(10.25)],std[f(11.00)],std[f(11.75)],std[f(12.50)],std[f(13.25)],std[f(14.00)],std[f(14.75)],std[f(15.50)],std[f(16.25)],std[f(17.00)],std[f(17.75)],std[f(18.50)],std[f(19.25)],std[f(20.00)],std[f(20.75)],std[f(21.50)],std[f(22.25)],std[f(23.00)],std[f(23.75)]
0,7.0,0.0,-0.262327462375,0.193308052173,0.757160813092,1.43289888348,2.19804710602,3.00074153564,3.77016875685,4.43717272733,4.95604575356,5.31761649066,5.54802422242,5.69464449961,5.80650537044,5.91814955265,6.04287108418,6.17585184416,6.30318418378,6.41124405672,6.4924249388,6.54622883449,6.57716774416,6.59177352332,6.59636959633,6.59605774777,6.59450521497,6.59394525093,6.59509621031,6.59703034361,6.59712646248,6.59116680807,6.57357673448,0.0575979361998,0.0462458066686,0.0432320004169,0.0415431052199,0.040046912343,0.0375028573784,0.0358444106208,0.0358567169654,0.0350502203585,0.0332842432477,0.0328771781555,0.0334013465611,0.0329680502422,0.0321223798628,0.0321157411491,0.0325056228316,0.0326108777276,0.0325683038244,0.0324760937481,0.0323276451967,0.0324427859597,0.0330163288159,0.0337785678109,0.0344900867038,0.0353336862708,0.036614571821,0.0381696369306,0.0396709141274,0.0415581527415,0.0448036701028,0.0559754529815
1,7.0,5.0,-0.190973615888,0.256736613402,0.812380446284,1.47964173851,2.2360634083,3.02980186767,3.79006645705,4.44772552206,4.95709791823,5.3090399161,5.52971999053,5.66654343259,5.76856853008,5.87036848348,5.98526763101,6.10847750009,6.22611930736,6.32459664453,6.39632926754,6.44084384772,6.46267507876,6.46837567663,6.46428795292,6.45553035944,6.44578496417,6.43729800044,6.43079878727,6.42536910717,6.41839580968,6.40566767041,6.38161544516,0.0626577368164,0.0507478915228,0.046462522719,0.0438756051857,0.0420025624987,0.0394386040473,0.0377679762414,0.0376171189285,0.0366606298398,0.0348267948989,0.0343222149287,0.0346615738232,0.0339747085259,0.0328238284867,0.0325732966976,0.0329382211194,0.0332804042235,0.0336482831012,0.0339851610359,0.0341448336001,0.0343649015204,0.0348672894712,0.0355261878323,0.0362605999326,0.0373267014564,0.038997821784,0.041073148939,0.0432835160245,0.0461382191358,0.0504645015425,0.0617313815065
2,7.0,10.0,-0.243378174608,0.223602983701,0.797919308153,1.48320036161,2.25693644567,3.06723273309,3.84324910285,4.51580724544,5.03918201403,5.40418899229,5.63695959038,5.7848664547,5.89693980884,6.007729315,6.13054147412,6.26057487501,6.38394381543,6.48705057922,6.56231920515,6.60928634482,6.63250202473,6.63853958944,6.63376672386,6.62333184633,6.61095042611,6.59890578279,6.58796713116,6.57725806668,6.5642089166,6.54465319291,6.51306688375,0.0795728093461,0.0626038448076,0.052649516506,0.0455259704948,0.0405498564695,0.0362865115114,0.0344664816686,0.0356840550035,0.0369898623082,0.03793747396,0.0401449298246,0.0427124906832,0.0439696208304,0.0443650591447,0.044842580132,0.0451164249598,0.0447139202728,0.0436903811735,0.042061817269,0.0398361195291,0.0374470665964,0.0354682508582,0.0341929385473,0.0338592973346,0.0349545390557,0.0378630821333,0.0422888525927,0.0477398996669,0.05438068207,0.0626491172035,0.076835668445
3,7.0,20.0,-0.223668853925,0.216528096892,0.765823998992,1.4279430859,2.18046322068,2.97157018777,3.73049638128,4.38812677297,4.89878976704,5.25334429642,5.4779539839,5.62001239675,5.72855905598,5.83814100029,5.96205014159,6.09545945196,6.22444572044,6.33536290969,6.4205768575,6.47955602488,6.51677394936,6.53871970071,6.55166958041,6.56067502563,6.569350044,6.57987204023,6.59290198732,6.60745363128,6.6208461137,6.62880223801,6.6256877587,0.0798372619926,0.0628193570084,0.0528548832115,0.0457760919289,0.0409255477332,0.0369178673963,0.0354651678811,0.0370699302349,0.0387920493927,0.040120995222,0.0424762616994,0.0449465750956,0.0459748153421,0.0460546067522,0.0461592005807,0.0460404958018,0.0452376619118,0.043840017767,0.0419492796655,0.0396446076013,0.0373363647594,0.0354661490335,0.034196507589,0.0337944148906,0.0349502136275,0.0382310516005,0.0433238933431,0.0496105900441,0.0571835191528,0.0665776285707,0.0821370520073
4,6.5,0.0,-0.333415220244,0.158252241308,0.746156515611,1.43918976141,2.21981707393,3.03881816357,3.82505503015,4.50693140174,5.03597411983,5.40161933567,5.6306863317,5.77272159076,5.87900567361,5.98507283388,6.10346480436,6.22748529121,6.34154168734,6.43175887943,6.49218860487,6.52537944635,6.5390682531,6.54192050473,6.54057107736,6.53869454081,6.53756096103,6.53707977114,6.53658044817,6.53506383804,6.53100316304,6.52191028376,6.50390935049,0.0728417937098,0.0545531247654,0.0473483187649,0.0441073179711,0.044046924504,0.0440774135394,0.043745301641,0.0437148902395,0.0430974465952,0.0420180368398,0.0418912718045,0.0423821037363,0.0422940406021,0.0419594755472,0.042044861211,0.0421751935267,0.0419875733663,0.0417321632576,0.041624745888,0.0416579351127,0.0417705955573,0.0418456800028,0.0419330808307,0.0423087190212,0.043004728387,0.0436850811538,0.0442468048689,0.0455046947616,0.0489626489524,0.0559970382794,0.0740050439007
5,6.5,5.0,-0.623248476111,-0.0658509561272,0.583259523274,1.32859178773,2.14896348879,2.99260929279,3.78720426966,4.46143359467,4.96851957945,5.30079384499,5.48882287929,5.58631572461,5.64866302599,5.71501661828,5.80068696485,5.90066575247,5.99988140605,6.08387314638,6.14518706855,6.18422569731,6.20626443325,6.21751831825,6.22246970125,6.22315290674,6.21983749662,6.21210814963,6.19959950239,6.18213880348,6.15939755975,6.13029188975,6.09239558542,0.0781689445406,0.0566965232035,0.0502244169117,0.0476859625138,0.0467297027225,0.0454096999942,0.0443570172477,0.0442820718882,0.0437444300134,0.0425961688413,0.0424681832266,0.0432620430731,0.0436218655899,0.0435050073671,0.0434138699583,0.0432077412278,0.0428738493407,0.0428374300672,0.0432478890636,0.0438774956536,0.0444329933905,0.0446865360173,0.0447644819247,0.0451567425318,0.0460916867646,0.0471940546325,0.0479107748643,0.0482441440961,0.0494976758204,0.0556559473533,0.0791392474878
6,6.5,10.0,-0.219455487279,0.345168522608,0.994663661984,1.73711476163,2.55493238325,3.39952525996,4.20094627929,4.8891966225,5.41763593904,5.77760378841,5.99774969694,6.12926520207,6.22481632372,6.32102407767,6.43121217393,6.54917835318,6.65957138,6.74854806742,6.81002951061,6.84631734679,6.86482556241,6.87385563282,6.87966166211,6.88553683234,6.89237423421,6.8997085613,6.90648773812,6.91131274081,6.91222843767,6.90628513994,6.88911592017,0.0805598433347,0.0566446741965,0.0496136367625,0.0475819897875,0.0470537208698,0.0458784342709,0.0450286687489,0.0453951748686,0.0453099292474,0.0442590016417,0.0437027137966,0.0437807887218,0.043461151508,0.0428718718757,0.0426151780597,0.0425492947291,0.0424972360142,0.0426115791413,0.0428623611325,0.0431211734855,0.0434037192002,0.0437405865395,0.04424289662,0.0450919050003,0.0461360145852,0.0468907716215,0.0471235246835,0.0474353453727,0.0494442211145,0.0563642708029,0.0792492878
7,6.5,20.0,-0.137527968349,0.305044976197,0.8436412001,1.49018431073,2.22987715554,3.01563719543,3.77763402189,4.44463082258,4.96757821883,5.33454135013,5.57042127902,5.72261145858,5.84033243769,5.95744095296,6.08539228908,6.21708953596,6.33719772119,6.43262032726,6.49848932945,6.5384765897,6.5612356097,6.57594074135,6.58920871715,6.60414660903,6.62097955686,6.63824560978,6.65377591869,6.66516071997,6.6697468775,6.66435461849,6.64493776928,0.0793753289799,0.056032151115,0.0491299920236,0.0468687187746,0.0466143631514,0.0460423573278,0.0453527600954,0.0452155639775,0.0445673575068,0.0434583166422,0.0433621113243,0.0440693579063,0.0443855908041,0.0444144940537,0.0445421816095,0.044386979186,0.0438600385708,0.0435108724707,0.0436076220971,0.0438896962395,0.0439982828426,0.043756926948,0.0434385280367,0.0436541885937,0.0446130299905,0.0458213674607,0.0467377481945,0.0476464612282,0.0500679998507,0.0574441431189,0.0810845581654
8,6.0,0.0,-0.280681127847,0.0981495319777,0.574301170183,1.15643966808,1.82924510071,2.54963028022,3.25579931859,3.88577195576,4.39695835848,4.77774516857,5.04624415702,5.23795808469,5.38930028499,5.52491933434,5.65355730625,5.77205832822,5.87327509649,5.95283933036,6.01181230935,6.0552881099,6.08915220882,6.11747546428,6.14184612015,6.16240798301,6.17946182578,6.19450258358,6.2101714248,6.22925934377,6.25325753584,6.28099031141,6.30778530273,0.0764665816932,0.0567776714825,0.0486333816143,0.0446138303614,0.044041588973,0.0438933482149,0.0433638914542,0.0430683318511,0.0425026331241,0.0417918855457,0.0418414878004,0.0422536741429,0.0422817265356,0.0422006255729,0.0421411134461,0.0417684825791,0.0413493649031,0.0413460694345,0.0415559773309,0.0417528174209,0.0421411784872,0.0427113519231,0.043083805758,0.043069656407,0.0428986558592,0.0430240326871,0.0438251344212,0.045623904752,0.048949198297,0.0551507453622,0.0733943639366
9,6.0,5.0,-0.279374309527,0.214521520034,0.802175508153,1.48645150464,2.24680998199,3.0359944255,3.78947261462,4.44420785938,4.95831345057,5.32253229325,5.55870680458,5.70702072165,5.80900504052,5.89432112555,5.97611498375,6.05462002349,6.12480250773,6.18303450029,6.22981676402,6.26859783717,6.30285508175,6.33386736418,6.36042866401,6.38022363423,6.39168531392,6.39518511767,6.39302787996,6.38840015734,6.38378409751,6.37940465792,6.37219235947,0.0821331701684,0.0581142766957,0.0495576559414,0.0463727748068,0.0460992798875,0.0457261306398,0.0449591832361,0.0446801881093,0.0442753669947,0.0435111911141,0.0430948000656,0.0429244757807,0.0427299336774,0.0429435174251,0.0434001388648,0.0433669917296,0.0429760296261,0.0428506807711,0.0430061487599,0.0432289684067,0.0435658426833,0.0439226050364,0.0440721394715,0.0441430902386,0.0445767400971,0.0455875523687,0.0468402080965,0.0479962825752,0.0499247186206,0.0563975057019,0.0798982246499
