,ph,mMacid,E[f(1.25)],E[f(2.00)],E[f(2.75)],E[f(3.50)],E[f(4.25)],E[f(5.00)],E[f(5.75)],E[f(6.50)],E[f(7.25)],E[f(8.00)],E[f(8.75)],E[f(9.50)],E[f(10.25)],E[f(11.00)],E[f(11.75)],E[f(12.50)],E[f(13.25)],E[f(14.00)],E[f(14.75)],E[f(15.50)],E[f(16.25)],E[f(17.00)],E[f(17.75)],E[f(18.50)],E[f(19.25)],E[f(20.00)],E[f(20.75)],E[f(21.50)],E[f(22.75)],std[f(1.25)],std[f(2.00)],std[f(2.75)],std[f(3.50)],std[f(4.25)],std[f(5.00)],std[f(5.75)],std[f(6.50)],std[f(7.25)],std[f(8.00)],std[f(8.75)],std[f(9.50)],std[f(10.25)],std[f(11.00)],std[f(11.75)],std[f(12.50)],std[f(13.25)],std[f(14.00)],std[f(14.75)],std[f(15.50)],std[f(16.25)],std[f(17.00)],std[f(17.75)],std[f(18.50)],std[f(19.25)],std[f(20.00)],std[f(20.75)],std[f(21.50)],std[f(22.75)]
0,7.0,0.0,-0.317623467699,0.0825282185032,0.632721496642,1.2994346359,2.03336992171,2.77654077936,3.47216462608,4.07508985158,4.55995360223,4.92465753268,5.18802140348,5.38227843568,5.54272576392,5.69773155833,5.86205802295,6.03519429082,6.2046193027,6.35232011106,6.46205527573,6.52497847861,6.54215014867,6.52368304031,6.4853226778,6.44383547397,6.41260869517,6.39850908081,6.40053030952,6.41026432644,6.40481907072,0.0953898653919,0.075919951763,0.0696278794073,0.0662667405934,0.0626854217743,0.0597422243341,0.0592647464708,0.0606316133807,0.061526025775,0.0615758631581,0.0625808179799,0.0648905657952,0.0660094291983,0.0639196797232,0.0598614189762,0.0572416676528,0.057667427845,0.059431495804,0.0606259084194,0.0611396297664,0.0616126671974,0.0620309699709,0.0618565517865,0.0610664321663,0.0607313625109,0.0626132513611,0.0678662033942,0.0762271672381,0.102832051485
1,7.0,5.0,-0.21177211521,0.162706135767,0.667749447995,1.27135347042,1.92759726941,2.58356269589,3.18883160669,3.70532268249,4.1147278288,4.42122501475,4.64843379845,4.83137106904,5.00580435795,5.19824212784,5.41952621354,5.66367192989,5.91180155989,6.1393945155,6.32424167633,6.45263267503,6.52224021103,6.5414264514,6.52577509002,6.49326148738,6.45951416978,6.43427420475,6.41964087033,6.41018653462,6.37387648676,0.107039773562,0.0792955230417,0.0696427147121,0.0668902417359,0.0650932087617,0.0632425255537,0.0625048253321,0.062762995969,0.0624729638397,0.0614791235062,0.0614621280101,0.0628267069927,0.0633983506218,0.0615870582217,0.0589819651573,0.0586860533845,0.0610887646859,0.0635469396501,0.0640784085602,0.0629750989738,0.0616462403152,0.0610031043699,0.0610414303714,0.0614979860522,0.0624529828785,0.0645345372034,0.0689593462569,0.0777064873692,0.116223115006
2,7.0,10.0,-0.212394623793,0.138719058351,0.624838636314,1.21406813951,1.86016311048,2.50954059178,3.11090987119,3.62525580615,4.03341649176,4.33891317348,4.56498742718,4.74660596536,4.91982514166,5.11175916607,5.33411135358,5.58191568966,5.83733527084,6.07674980121,6.27853980321,6.4291170585,6.5256994839,6.57557096061,6.59265784844,6.59282725422,6.58935656907,6.58965076455,6.59375819993,6.59472650801,6.55540490804,0.105877375738,0.0784195995586,0.0692096858512,0.0665511468072,0.064878870931,0.0634683316778,0.0631642458751,0.0632633464581,0.062046193314,0.0597751416706,0.0589923336142,0.0607203376707,0.0624897463028,0.0619385617645,0.0598292051916,0.0587315177364,0.0594817282628,0.0605258529668,0.0606890870891,0.0605038468759,0.060904674802,0.0617867796832,0.062330504296,0.0622055082098,0.0621458539461,0.0637028253409,0.0685508175289,0.0781764905351,0.116465714507
3,7.0,20.0,0.0264147116073,0.340237963735,0.789394556183,1.3438612492,1.95876527373,2.5811855337,3.15969493876,3.6544237484,4.04488513521,4.33318845603,4.54151989432,4.70454440004,4.85902376825,5.03381800801,5.24320455616,5.4851952261,5.74478188761,6.00045915962,6.23154988761,6.42397599018,6.57301985887,6.68280882478,6.76329401231,6.82604970265,6.88024366397,6.92977972929,6.97211132384,6.99874317278,6.9734007839,0.113633735234,0.0868626267934,0.0761321641066,0.0716656604598,0.0690858195614,0.0676897898384,0.0678540605819,0.0684596627318,0.067656395902,0.0656467843488,0.0647928347297,0.0660817571168,0.0673571441076,0.0666017461827,0.064763688069,0.0643023533544,0.0656075814606,0.0666735308422,0.0661375044097,0.0647875538247,0.0643497131421,0.0655411884569,0.0675937431997,0.0693153722702,0.0701575095512,0.0708411934709,0.0737593883866,0.082781145569,0.126348504016
4,6.5,0.0,-0.265104444621,0.091870955709,0.589859475298,1.20921608221,1.9135724806,2.652605955,3.36939935661,4.01121413571,4.54071804694,4.94388141598,5.23144641641,5.4330966536,5.58625805086,5.72363756234,5.86405301238,6.00958925247,6.14936084059,6.26748339535,6.35147173145,6.39768595038,6.41223391231,6.40787514849,6.39896303706,6.39674119884,6.40655238888,6.42730357712,6.45257938778,6.47244134204,6.46162865796,0.110254813082,0.0821308163103,0.0720771522207,0.0691039238513,0.0688238915798,0.0685069876474,0.0673927317602,0.0663990969391,0.0658083440111,0.064795564165,0.063263758136,0.0622408458558,0.0621540739032,0.0623192153143,0.0623614776274,0.0625785019701,0.0629734166732,0.0631819951,0.0631633895957,0.0631179354196,0.0631339190302,0.0634891407178,0.0646090755777,0.0661617320846,0.0671325125624,0.0676595859445,0.0704112214152,0.0792811400469,0.120947137081
5,6.5,5.0,-0.152371707987,0.30949700633,0.860148765891,1.47969678632,2.13657399781,2.7899230121,3.39599546847,3.91747680435,4.33294665621,4.64291364305,4.86958341472,5.04972271573,5.22274037487,5.41818933935,5.64724949926,5.90111578585,6.15638448829,6.38479220045,6.56326579533,6.68067432606,6.73952380565,6.75306498665,6.7398604827,6.71822914973,6.70228198849,6.7000805847,6.71350271456,6.73901358895,6.78558349563,0.120550529973,0.0835720939659,0.0740164171619,0.0719688921355,0.0713133718382,0.0704639477952,0.0688946651529,0.0672385824015,0.0660765220442,0.065275840902,0.0648641830905,0.0650899840775,0.0654565821299,0.0651712766554,0.0644847849706,0.0643061810149,0.0646882400564,0.0649224468455,0.0648227299204,0.0648192051463,0.0651664091235,0.0658745863553,0.0670908986581,0.0689408694903,0.0712862413278,0.0739667492743,0.0772647125679,0.0838056874137,0.135659205278
6,6.5,10.0,-0.160147112274,0.152960932034,0.59984088313,1.16087022585,1.80054654601,2.47047097513,3.11679577703,3.69091432788,4.16042259316,4.51658218355,4.77524398252,4.97043500172,5.1426251261,5.32585698711,5.53834618987,5.7796113397,6.03441018677,6.2810536568,6.50027013907,6.6811875439,6.82279279915,6.93136117337,7.01585930297,7.08359930452,7.13768189999,7.17655318906,7.19506075522,7.1860529275,7.08920467835,0.122664998886,0.0831672751962,0.0737544362703,0.0722473392035,0.0710884626642,0.069286464986,0.0674767540202,0.066720777616,0.0669471842825,0.0670743181907,0.0667967498101,0.0667295313511,0.0669023864273,0.0666351970896,0.0658712241869,0.0652506576203,0.0649566282184,0.0646462268389,0.0643337471477,0.0643533433384,0.0647144336563,0.0652158839247,0.06588573313,0.0668918811941,0.0684480698747,0.0709822536062,0.0750113285115,0.0822838894706,0.132142427536
7,6.5,20.0,0.0587932253189,-0.0382439304045,-0.0162909310972,0.133736303443,0.404197388245,0.770678401831,1.19676949539,1.64284929391,2.07620502796,2.47885664783,2.85000257237,3.20204954029,3.55187033403,3.91101268484,4.27901694813,4.64253203801,4.98026757315,5.27129121959,5.50293535825,5.67510943077,5.79968658401,5.89579286983,5.98330480688,6.07707944892,6.18359144984,6.30034822177,6.41741642966,6.51996712256,6.61241325038,0.120702491878,0.0817628005033,0.0753784389051,0.0738324839451,0.0711848485581,0.0689696458925,0.0682216676962,0.0685194599526,0.0685191460558,0.0673942618577,0.066054487456,0.0660517999256,0.067206764163,0.0678530808354,0.067157505725,0.0657276710372,0.0644922833063,0.0640882415474,0.0648796188091,0.0664698931868,0.067654745198,0.0676875954776,0.0672216026533,0.0676206837536,0.0695761103634,0.0727848763448,0.0769240191925,0.0842475413808,0.138624020375
8,6.0,0.0,-0.31462613138,0.0578613844888,0.532517099461,1.09346172545,1.7198617465,2.38537138802,3.05877134684,3.70658095639,4.29742745168,4.80693497019,5.22142089119,5.53909839752,5.76852954987,5.92518498223,6.02752160306,6.09377228282,6.13992704842,6.17867654501,6.21884779659,6.26507507372,6.31785482897,6.3742843315,6.42955410978,6.47879137505,6.51850556037,6.54695351587,6.5632397381,6.56561340717,6.52588959022,0.113262523442,0.0834507762484,0.0737153572912,0.071213302685,0.0699226862146,0.0680928734484,0.066259234409,0.0656852042124,0.0663468295085,0.066734557943,0.0657723476627,0.0639349898964,0.0624988387924,0.0622892554505,0.0632002580462,0.0644495617525,0.0651614231021,0.0649832127226,0.0642441579234,0.0635661726445,0.0635037140807,0.0643972368567,0.0660392116736,0.0675128853078,0.0680583490931,0.068564156414,0.0719756450641,0.0815334308326,0.122536444159
9,6.0,5.0,-0.0417114880827,0.0744263339077,0.30314396692,0.64054512174,1.07614238202,1.59144198118,2.15995755708,2.74951333073,3.32665389287,3.86191439676,4.33419543355,4.73284356624,5.05707687615,5.31348431302,5.51290210147,5.66777073419,5.79040297759,5.89192659651,5.98146325282,6.06536000953,6.14670366581,6.22551676156,6.29977909125,6.36692879766,6.42511682436,6.47352326348,6.5115247714,6.53713316807,6.53787567295,0.123660251371,0.0845719677857,0.0739629930659,0.0722047305863,0.0720818402933,0.071391101589,0.0694527217059,0.0672244476396,0.0660957496056,0.0662072807971,0.0666178027109,0.0664622996572,0.0654109802438,0.0637584539569,0.062412186547,0.0622250086783,0.06315869222,0.064453279596,0.0654120296265,0.0657705461575,0.0657574230821,0.0660287332596,0.0671699764568,0.0691044974947,0.0713538105692,0.0738547947035,0.0772909269076,0.0842011384681,0.13430806431
