,ph,mMacid,E[f(1.50)],E[f(2.25)],E[f(3.00)],E[f(3.75)],E[f(4.50)],E[f(5.25)],E[f(6.00)],E[f(6.75)],E[f(7.50)],E[f(8.25)],E[f(9.00)],E[f(9.75)],E[f(10.50)],E[f(11.25)],E[f(12.00)],E[f(12.75)],E[f(13.50)],E[f(14.25)],E[f(15.00)],E[f(15.75)],E[f(16.50)],E[f(17.25)],E[f(18.00)],E[f(18.75)],E[f(19.50)],E[f(20.25)],E[f(21.00)],E[f(21.75)],E[f(22.50)],E[f(23.25)],E[f(24.00)],std[f(1.50)],std[f(2.25)],std[f(3.00)],std[f(3.75)],std[f(4.50)],std[f(5.25)],std[f(6.00)],std[f(6.75)],std[f(7.50)],std[f(8.25)],std[f(9.00)],std[f(9.75)],std[f(10.50)],std[f(11.25)],std[f(12.00)],std[f(12.75)],std[f(13.50)],std[f(14.25)],std[f(15.00)],std[f(15.75)],std[f(16.50)],std[f(17.25)],std[f(18.00)],std[f(18.75)],std[f(19.50)],std[f(20.25)],std[f(21.00)],std[f(21.75)],std[f(22.50)],std[f(23.25)],std[f(24.00)]
0,7.0,0.0,-0.413472448032,-0.0668836234779,0.438872073246,1.11360764298,1.9118756702,2.74215349234,3.49928213259,4.10372115563,4.52780664993,4.79735138733,4.97092231007,5.11007206064,5.25579420996,5.42003950836,5.59170425676,5.74992261818,5.87645720492,5.96229463642,6.00805086202,6.02071833309,6.00972999503,5.98407898841,5.95079060488,5.91437337721,5.87701285133,5.83954221378,5.80301200427,5.77007028399,5.74501068961,5.73187053129,5.7312110738,0.066332348419,0.0486959881073,0.0464002313968,0.0511255741215,0.0536506248124,0.0515526342109,0.0468486021122,0.0408595658369,0.0374611667773,0.0399429619625,0.0445000575898,0.0476755951589,0.049558621802,0.0502386278551,0.0491064714967,0.0463993851664,0.0431007902821,0.0398890197526,0.0372355796166,0.0359088337016,0.0364042934179,0.0383961600187,0.0411749926521,0.0439399306839,0.0457587028663,0.0458670458831,0.0441544100827,0.0419168550459,0.0429482443604,0.0513697786684,0.0719109217987
1,7.0,5.0,-0.169362044378,0.181387708895,0.686714408809,1.35349078294,2.1340713029,2.93619339466,3.65589429933,4.21683186823,4.59612950891,4.82515423259,4.96775851805,5.08952216508,5.23350918075,5.41154182142,5.61043766814,5.80594792364,5.9760028852,6.1081430483,6.20053516751,6.2589805307,6.29286503912,6.31187309689,6.32390589198,6.33400226969,6.34416211579,6.35418396342,6.36334743497,6.37209736778,6.38249686847,6.39673083934,6.41420005448,0.0732168698294,0.0520815901405,0.0447262277063,0.0466348424892,0.0505307415409,0.0522082853812,0.050464549992,0.0442576242185,0.0385180146654,0.0414849553271,0.0498891191862,0.055737698216,0.0557119809168,0.0499279100434,0.0415675575727,0.0370096817334,0.0397878857144,0.0449743604835,0.0474191285261,0.0461077060298,0.0426611602927,0.0395608606947,0.0385883091338,0.0395245485812,0.0407130719552,0.0410072934444,0.0406207166638,0.0407589448088,0.0431664085748,0.0492370196112,0.065344408097
2,7.0,10.0,-0.184086279002,0.178886944384,0.691857029031,1.36349883827,2.14858466278,2.95716784069,3.686758705,4.26111757781,4.65597301226,4.90013736592,5.05446272584,5.18196439307,5.32435919641,5.49378088958,5.67898317534,5.85877949629,6.01448271011,6.13646941152,6.22452841341,6.28458526434,6.32480532781,6.35280599627,6.37422880364,6.3922536483,6.40779779238,6.42044935127,6.43000104262,6.4378409088,6.44707534877,6.46075779113,6.47881828003,0.0684834452409,0.0501725224562,0.044498458774,0.0432322900945,0.0420613304623,0.0409594136677,0.0409569634382,0.039522207963,0.0373604868421,0.0372370963746,0.0379163181788,0.037906478474,0.0382692529785,0.0391699561353,0.0393970038242,0.0388091590223,0.0381774815761,0.0377028320957,0.0371590927471,0.036669955725,0.0365229553898,0.0367955555987,0.0373883324828,0.0380306686946,0.0384307676477,0.0387219438639,0.0393614622263,0.0406649610193,0.0433644069693,0.0491385246432,0.0657277749852
3,7.0,20.0,-0.242348552192,0.085523158733,0.56326187606,1.20162132755,1.95751168807,2.74278762811,3.45603120485,4.02106196011,4.41257909976,4.65746376658,4.81416733035,4.94341549504,5.08532565471,5.25153052494,5.43149832187,5.60575585742,5.7578366418,5.88022357174,5.97412286292,6.04581740929,6.10268610301,6.15061725135,6.19298893129,6.23067979668,6.26272386441,6.28756222586,6.30469884299,6.31601888145,6.32569057758,6.33809647219,6.35446571753,0.0667621324395,0.052459404134,0.0463630112321,0.0428671209251,0.0410849092194,0.04114136888,0.0421206854807,0.0405804080381,0.0380316467186,0.0386161687212,0.0412074595476,0.0428821400213,0.0429430883611,0.0412764720591,0.0387903328852,0.0385989712432,0.0422184337193,0.0463818099949,0.0473251146934,0.0442686485363,0.0395552093997,0.0372461257494,0.0394740296821,0.0438960313898,0.0470416621786,0.0473757029109,0.045440323338,0.0432429893966,0.0441681840292,0.0519025615316,0.0732727458413
4,6.5,0.0,-0.21802636316,0.0464096155318,0.479595236371,1.11146699516,1.90248823404,2.75282231462,3.54273658874,4.18203657583,4.64157987641,4.95197530317,5.17480625727,5.36638846732,5.55459734056,5.737547902,5.89852050065,6.02379430063,6.11213263454,6.17288155042,6.21753895923,6.25246878473,6.27759986025,6.29050741074,6.29139092034,6.2845877313,6.27572350117,6.26734732674,6.25694699509,6.23897308886,6.2090538928,6.1668546642,6.11527036845,0.0749567780563,0.0536246445394,0.0470321633066,0.0458798998174,0.0456812464639,0.0446304749179,0.0434572998951,0.0419353967072,0.0414009465714,0.0422736165344,0.0425391880019,0.0420330504152,0.0419603303936,0.0420665297864,0.041937040566,0.0420149226875,0.0421932844625,0.0419220335633,0.0415273355762,0.0416736201644,0.0420732927758,0.0420857351031,0.0418285298356,0.0418474396705,0.0424189778806,0.0435811788423,0.0448853856087,0.0456215577797,0.0469324500008,0.0525283233492,0.0728877039954
5,6.5,5.0,-0.236650240748,0.184035655508,0.745464555044,1.46290920336,2.28688512704,3.11412370045,3.82881043612,4.35162311575,4.66961358505,4.83231075855,4.91988932353,5.00402788799,5.12256650396,5.27714848497,5.44836952305,5.61495069659,5.7652973636,5.89790614131,6.01496496986,6.11644313316,6.19930799786,6.26129911859,6.30497264701,6.33797703098,6.36898709955,6.40241648933,6.4359641634,6.46265447839,6.47547434231,6.47090841157,6.44887096544,0.0790373195476,0.0542075153325,0.0501276138214,0.0487835797411,0.0470791736346,0.0458213127123,0.0457733441514,0.0451960168919,0.0444904491652,0.0446478924387,0.0446664206939,0.044346115426,0.0441644143209,0.0435763106048,0.0427057699986,0.0428095375833,0.0438243101774,0.0442967282063,0.043825755574,0.0433909495662,0.043594217565,0.0440221738811,0.044172595434,0.0439377015154,0.0436727302888,0.0443288639364,0.0462837725133,0.0481968994497,0.0490668349861,0.0524216521088,0.0777709797797
6,6.5,10.0,-0.21719250649,0.174371359703,0.702008028077,1.38794039301,2.18943698071,3.00839376541,3.73141143598,4.2782362836,4.63180747989,4.83529332577,4.96173890082,5.07657535028,5.21366469378,5.37370415873,5.53932686897,5.6934551687,5.8295353068,5.95050502737,6.06126070518,6.16221858258,6.24872062851,6.31560331809,6.36236083262,6.39451398929,6.42031405247,6.44572147424,6.4716940392,6.4955513117,6.5147071358,6.52927746668,6.54126152952,0.0803489911707,0.0542376478467,0.0486112399772,0.0477304593112,0.0462261950042,0.0443048877681,0.0437714629186,0.0434297307683,0.0433863200527,0.0441827106955,0.0446045435302,0.0444575851287,0.0442648967402,0.0435896453188,0.0426494830711,0.0426023241652,0.0432429281115,0.0432987609645,0.0427715735534,0.0427689289212,0.0435101361022,0.0442190742819,0.0445606546283,0.0448001006695,0.0450402147049,0.0453082467557,0.0458506081236,0.0467353702951,0.0480702711952,0.0526722532374,0.0784549077973
7,6.5,20.0,-0.108017527164,0.0904892264285,0.446251174441,0.994439261422,1.70128624856,2.47227031863,3.19157970867,3.77090317041,4.1808052481,4.44987777251,4.6369247778,4.79593339571,4.95400647824,5.11067604616,5.25275281945,5.37134295146,5.46999031062,5.56129702297,5.657329756,5.76184831741,5.86934691139,5.97021522362,6.05723009799,6.12861513847,6.18638941182,6.23259220423,6.26719046665,6.28938017134,6.30066500334,6.30643562974,6.31399750044,0.0792005118521,0.0511660551888,0.0481477444702,0.0485916625833,0.0476359216406,0.0461577239298,0.0456339712188,0.0449834771378,0.0445028572323,0.0445896090111,0.0441677314295,0.0436549978237,0.0439108433451,0.0439595938223,0.0432763201364,0.0428979870827,0.0431652556211,0.0432290964796,0.0429637795852,0.043112883781,0.0437637903282,0.0442696682554,0.0443545109544,0.0442840733969,0.0443876365118,0.0449878582149,0.0462198241241,0.0478235678011,0.0499435014144,0.0554699305139,0.0816881007387
8,6.0,0.0,-0.207491366937,0.130869868319,0.537932488471,1.06740561101,1.73549783579,2.50458451407,3.29404100977,4.01193444868,4.59014814314,5.00525822845,5.27730455891,5.45134823869,5.57432383343,5.67886010631,5.77895418804,5.87504287587,5.96231760198,6.03691553229,6.09797456002,6.14669308575,6.18472700955,6.21347848945,6.23434206848,6.24911560647,6.26001368324,6.26939246304,6.27954015325,6.29248206153,6.30928206136,6.32851345014,6.34440962499,0.0720884675864,0.0526145847733,0.0465662177704,0.0451143967541,0.0448077451861,0.0434823819914,0.0424409735016,0.0421840134987,0.0424770477415,0.0426900544909,0.0420369680997,0.0411056422819,0.040968677483,0.0414457634573,0.0418422968727,0.0418902859958,0.0415482497001,0.0409433286348,0.0405172251475,0.0408020692303,0.0418265496023,0.0428029864745,0.042915701748,0.042474509488,0.042599051558,0.0436214350587,0.0446199682419,0.044874889898,0.0457937327848,0.0514006867392,0.0732289179369
9,6.0,5.0,-0.255637045833,0.155684732595,0.622346034583,1.18312824269,1.84324502398,2.56048181397,3.25743463426,3.85311468862,4.29638578403,4.5838288615,4.75478093944,4.8692445215,4.98197046185,5.12499043707,5.30373522027,5.50413590479,5.70405922869,5.88298343948,6.0271361039,6.13060897663,6.19442662808,6.22511363225,6.23311886763,6.2308159695,6.23009559636,6.24016978671,6.26628265242,6.30939147882,6.36619817952,6.42893441782,6.48505546188,0.0806911786787,0.0536154790259,0.049788205114,0.0483937138853,0.0471665288765,0.0464807807132,0.0464951093931,0.0459125104697,0.0447097197376,0.0438866823599,0.0437291767713,0.0441762481445,0.0445962861868,0.0440305859237,0.0428994076025,0.0428027197301,0.0441227267059,0.0453729180208,0.0451621288812,0.0436836714085,0.0424205062615,0.0424603680335,0.0433941198694,0.0443142633517,0.0448937750322,0.0454662645085,0.0466453988311,0.0482961176285,0.0494498395635,0.0527493410235,0.0793915093406
