,ph,mMacid,E[f(1.25)],E[f(2.00)],E[f(2.75)],E[f(3.50)],E[f(4.25)],E[f(5.00)],E[f(5.75)],E[f(8.00)],E[f(8.75)],E[f(9.50)],E[f(10.25)],E[f(11.00)],E[f(11.75)],E[f(12.50)],E[f(14.25)],E[f(15.50)],E[f(16.25)],E[f(17.25)],E[f(19.00)],E[f(19.75)],E[f(20.75)],E[f(21.50)],E[f(22.25)],E[f(23.25)],std[f(1.25)],std[f(2.00)],std[f(2.75)],std[f(3.50)],std[f(4.25)],std[f(5.00)],std[f(5.75)],std[f(8.00)],std[f(8.75)],std[f(9.50)],std[f(10.25)],std[f(11.00)],std[f(11.75)],std[f(12.50)],std[f(14.25)],std[f(15.50)],std[f(16.25)],std[f(17.25)],std[f(19.00)],std[f(19.75)],std[f(20.75)],std[f(21.50)],std[f(22.25)],std[f(23.25)]
0,7.0,0.0,0.308961782332,0.370924571679,0.419726537285,0.452891555664,0.46895209679,0.467598341238,0.449726543127,0.322100333911,0.267087932339,0.212770514277,0.163076115128,0.121329720006,0.0900082616539,0.0705810793092,0.0718363889434,0.105060136907,0.132501904505,0.171533304411,0.226664511076,0.238677351435,0.239834948243,0.228658982893,0.207238915482,0.164181207079,0.0741364279082,0.0572183633175,0.0439889542415,0.0351638354107,0.0303391381347,0.0279005017555,0.0262179150282,0.0231617834257,0.0238726744946,0.0250700190282,0.0260453413693,0.0263156092359,0.0257695236843,0.0246370642959,0.0223169246154,0.0226922931033,0.0235150668788,0.0246611320464,0.0262071186922,0.0275425350922,0.0322880756998,0.0396062929958,0.0507710373755,0.0712276841537
1,7.0,5.0,0.304889632394,0.366839058639,0.415628889221,0.448782864008,0.464833515034,0.463471191789,0.445591840548,0.317950581427,0.262935134523,0.208616336236,0.158921604906,0.117176295478,0.0858572419524,0.0664333840672,0.0677018759912,0.100939624465,0.128390899014,0.167437776148,0.22260134743,0.234630042331,0.235811403775,0.224654582418,0.203255139256,0.160226381897,0.0743009968278,0.0572726967446,0.0438780357185,0.0348322551995,0.029774351088,0.0271362064343,0.0252895462036,0.0219489688558,0.0226959120912,0.0239622233638,0.0249984953539,0.0253028914509,0.0247610145779,0.0236125377662,0.0212952317032,0.0218037202362,0.0227356713205,0.0240187354233,0.0257254299203,0.0271106428438,0.0319379039768,0.0393365998629,0.0505866111156,0.0711500611346
2,7.0,10.0,0.303624501298,0.365586585864,0.414390111038,0.44755936098,0.463625676172,0.462280186652,0.444418815362,0.316836744833,0.261842958471,0.207546491293,0.157875115128,0.116153563483,0.0848585873147,0.0654598658768,0.0667888678917,0.100070361296,0.127549041272,0.166631789362,0.221858576176,0.233914625157,0.235130863044,0.224000352298,0.202626968623,0.159632349852,0.0744474404723,0.0573883439545,0.0439396277081,0.03482216361,0.0296965270842,0.0270236271844,0.0251848588869,0.0220711320608,0.0229023988833,0.0242273458225,0.0252971386965,0.0256169529821,0.025076046498,0.0239102370782,0.0214515838994,0.0217875236587,0.0226184697189,0.0237874131948,0.0253794799004,0.0267672609234,0.0316657105355,0.0391465619585,0.0504732636039,0.071109013592
3,7.0,20.0,0.301014088092,0.362971721523,0.411770953841,0.444935668176,0.46099727134,0.459648148778,0.441782709794,0.314189658486,0.259193188882,0.204894587612,0.155220785848,0.11349751144,0.0822015807309,0.0628028573309,0.0641325328295,0.097418057842,0.124899959794,0.163988255747,0.219228559523,0.231292110769,0.232520132145,0.221399093275,0.200036396648,0.157057444769,0.0746038601795,0.0575905323518,0.0442201194868,0.0352077696953,0.0301875456663,0.0275994307156,0.0258282221768,0.0227785835891,0.0235423355882,0.0247806717984,0.0257728832892,0.0260358802975,0.0254617988854,0.0242873500438,0.0218826290858,0.0222658716459,0.0231111381691,0.0242835013394,0.0258413229591,0.0271883410187,0.0319931227989,0.0393902324593,0.0506429615727,0.0712069990256
4,6.5,0.0,0.24851925997,0.317467269802,0.374836240989,0.417741094099,0.444377374083,0.454230620633,0.448142977354,0.360351196211,0.320399680198,0.281815801069,0.248023437861,0.221573811597,0.203949319595,0.195513114561,0.206063438863,0.228114174152,0.241429402572,0.254052559969,0.249293311009,0.23387060281,0.200302235023,0.166149093774,0.125532909206,0.063934043986,0.0964965193744,0.0792925597187,0.0656680041578,0.0556735945112,0.0485878946006,0.0433484654803,0.0392921975921,0.036534274961,0.038363649475,0.0398977152415,0.0403651650506,0.039709857278,0.0384805582244,0.0374627135894,0.0378675489646,0.0386638608312,0.0385226972363,0.0381436950418,0.0418674796601,0.0464751672631,0.0556825228075,0.0651775875687,0.0773556742127,0.0982547469714
5,6.5,5.0,0.375978950812,0.447173427814,0.500666902962,0.533369983907,0.5436819126,0.531710305904,0.499318428339,0.320538901834,0.25196817852,0.188449190457,0.134807466392,0.0946436380739,0.0700617927114,0.0615765085151,0.0963030210173,0.150742181969,0.186434127056,0.229178983721,0.269074204437,0.267116513158,0.244999404806,0.214517593973,0.173681788825,0.106707486467,0.141178666689,0.113045765647,0.0887662023293,0.0696703516619,0.056487140327,0.0488500537106,0.0453018845777,0.0453906285704,0.0465173521346,0.0472191479852,0.0471072864022,0.046170412217,0.0447856023672,0.0435380600781,0.0434934702113,0.0454173048477,0.0464396150799,0.047129384214,0.049446432675,0.0542728085247,0.0682599501475,0.0851909283648,0.107166932037,0.142627351994
6,6.5,10.0,0.378580910473,0.442303539981,0.488915593311,0.515770839457,0.521641303567,0.506904583926,0.47355826094,0.301918178866,0.238107470437,0.179831623149,0.13144865423,0.0961259992127,0.0756153884933,0.0701951198183,0.107830012567,0.161438733052,0.196070847114,0.237427793797,0.276781768282,0.275732392534,0.255885019279,0.227712379175,0.189450116441,0.125832939559,0.142084492103,0.113672350125,0.0895611188376,0.0708912342946,0.0580782601054,0.0504189660637,0.0463766618693,0.0449216836933,0.0462204617446,0.0473552740209,0.0477299986886,0.0471493649311,0.0458739303634,0.0444811517875,0.0437707563727,0.0455249131949,0.0465498766483,0.0472749124476,0.0495668550795,0.0541445960147,0.0674298673916,0.083719248411,0.105172338687,0.140342375556
7,6.5,20.0,0.166683741137,0.256218281373,0.334687087622,0.397477101843,0.441105704533,0.463579875947,0.464585021239,0.36024586449,0.303204159196,0.243493317162,0.186168212578,0.135633436002,0.0952939307533,0.0673573332285,0.0533548380029,0.0808674433624,0.107088963613,0.146981076391,0.209781113406,0.227088992373,0.23666805119,0.232471810195,0.218237833132,0.18443710216,0.143950325263,0.115730017765,0.090942033186,0.0708878315579,0.0565321160956,0.0480346132015,0.0443688066006,0.0463285467579,0.0476705321334,0.0482293414398,0.047715273679,0.0462622251515,0.0444165681901,0.0429518561108,0.0437433480052,0.0464426225975,0.0474909265403,0.0476252629249,0.0485710219003,0.0532604615603,0.0674770982976,0.0846213761854,0.106760209394,0.142449926954
8,6.0,0.0,0.25920483203,0.338293576477,0.406576294167,0.460275453125,0.496538068792,0.513749369263,0.511737555373,0.410349018201,0.357192236032,0.302083064887,0.249552633218,0.203413178861,0.166422421947,0.140099824605,0.119551641093,0.131259308208,0.143470304085,0.160326384905,0.17650685139,0.174079314648,0.160070373109,0.141321915787,0.115915810523,0.0730899276767,0.096401725455,0.0792097909999,0.0650727173229,0.0544583008021,0.0472696655804,0.0426677991192,0.0394997463653,0.0354107168508,0.036684513241,0.0385145021308,0.0397616611265,0.0397419909067,0.0385616589359,0.0370192017078,0.0364438201577,0.0377712246421,0.0381495612725,0.0384977183289,0.042210351127,0.045819771701,0.0533603274815,0.0620658859743,0.07422190725,0.0960655305744
9,6.0,5.0,0.250791678014,0.33647404676,0.409224760488,0.464616246977,0.499337324133,0.511558807987,0.501171841609,0.359185803151,0.290120435486,0.219676550417,0.153496390719,0.0964180180266,0.0520618349127,0.0225809548622,0.0125220446303,0.0461099537204,0.0759792743998,0.1199036664,0.186637522146,0.204635807791,0.214724651618,0.210907732473,0.197281811002,0.164917025039,0.142794236204,0.115473916706,0.0916434906194,0.072481015029,0.0588035081999,0.0505022066396,0.0462810595471,0.0445984048189,0.0460102975579,0.0475994776549,0.0485379497137,0.0482979877745,0.046961895589,0.0452226196572,0.0440634233638,0.0457798618104,0.0466278626004,0.0471334994402,0.0500095606299,0.0552492255584,0.0695764456606,0.0866632158913,0.108871604151,0.144872726707
