,ph,mMacid,E[f(3.50)],E[f(5.00)],E[f(6.50)],E[f(8.00)],E[f(9.50)],E[f(11.00)],E[f(12.50)],E[f(14.00)],E[f(15.50)],std[f(3.50)],std[f(5.00)],std[f(6.50)],std[f(8.00)],std[f(9.50)],std[f(11.00)],std[f(12.50)],std[f(14.00)],std[f(15.50)]
0,7.0,0.0,-0.608041351162,0.247603489544,0.988231669441,1.56797363795,1.99374084656,2.30714121467,2.55691474098,2.77627794548,2.97309145797,0.13474881653,0.114789784408,0.107827385281,0.10441918347,0.104714531397,0.107992241109,0.110781861383,0.114843493259,0.130264280746
1,7.0,5.0,-0.651212373351,0.0299190734721,0.589583341431,0.986561457079,1.23264978991,1.37425308746,1.46451502449,1.54041000871,1.6127287109,0.156963376681,0.129615508238,0.117012064331,0.108718502651,0.105003014587,0.107154204687,0.114455302826,0.129427340928,0.158990939435
2,7.0,10.0,-0.427935425333,0.259075723569,0.826360695048,1.23292948026,1.49069811226,1.64604719932,1.75191931054,1.84489699424,1.9352105307,0.159148036682,0.129074125829,0.114361621583,0.105847046662,0.103525222047,0.107536941064,0.115281843749,0.128070138315,0.15454482977
3,7.0,20.0,-0.132222080767,0.621458943805,1.26021473621,1.74182134864,2.07665737638,2.30933094552,2.49085631683,2.65581323197,2.8124398409,0.187356795496,0.152333386231,0.134895494307,0.126248782007,0.124944807742,0.130128531899,0.139720631125,0.155521747935,0.185323836768
4,6.5,0.0,-0.567745783228,0.286988074348,1.02668479692,1.60547828963,2.03028520339,2.34272000017,2.59153021255,2.80993972004,3.00581586157,0.143076647992,0.12525337735,0.118117744335,0.113728868706,0.112820947489,0.115096936253,0.117620929915,0.122104463611,0.137830127851
5,6.5,5.0,-0.564813774807,0.110472848588,0.661937783178,1.04844890639,1.28202736004,1.40943536483,1.48428593041,1.54410113391,1.60025952618,0.186140949865,0.144056848523,0.125314290844,0.117392062593,0.115966641873,0.119431639866,0.127605642963,0.146405171698,0.186438581393
6,6.5,10.0,-0.646107400706,0.0616612237461,0.651994731868,1.08339432539,1.36728401309,1.54956298321,1.68268838631,1.8027361811,1.91940165689,0.184714698108,0.145053471313,0.126873095345,0.118906808084,0.117224909087,0.120063646178,0.127745612395,0.147028089816,0.187884522416
7,6.5,20.0,-0.361549246784,0.434359368634,1.12057507255,1.65373421073,2.04289753929,2.33120503363,2.56809357767,2.78651801935,2.99312502928,0.217667020542,0.169372885281,0.146286146151,0.13712705247,0.135239977751,0.137790850624,0.146580147192,0.169112730576,0.214548289821
8,6.0,0.0,-0.273079279479,0.582901836271,1.32382752644,1.90382145785,2.3297909924,2.64334303436,2.89321942507,3.11264104344,3.30947422528,0.139847742462,0.120751939274,0.114833513233,0.112363372458,0.112876724185,0.115700271016,0.118069915256,0.122041861187,0.13757463351
9,6.0,5.0,-0.501139087909,0.221443606362,0.822208158302,1.2581933218,1.53968405327,1.71190936299,1.82723548778,1.92227381698,2.00784201514,0.190225604175,0.146908875857,0.127712087974,0.120336075977,0.11808623805,0.118839469871,0.124779653053,0.144629629139,0.189210347634
10,6.0,10.0,-0.422949613449,0.339686241301,0.98429002546,1.4667595616,1.79613149653,2.01634180607,2.17846651452,2.3178746428,2.44424357499,0.187472985643,0.146603923143,0.128116664264,0.119736820048,0.117165459891,0.119860398812,0.128046227142,0.147884497537,0.190764407535
11,6.0,20.0,-0.320310489877,0.491817805225,1.20083509136,1.76255197685,2.18479644311,2.50918361422,2.78347691613,3.03895822881,3.28073684037,0.215085842609,0.169969629937,0.147123106671,0.135963492067,0.132455138976,0.135483324484,0.145692659382,0.168761859359,0.214460864282
12,5.5,0.0,0.110662855481,0.967210984796,1.70871373964,2.28930005789,2.71587890885,3.03005442919,3.2805611876,3.50060983807,3.69805446926,0.14494039738,0.126568643064,0.120336418197,0.117495442436,0.118017304245,0.121060072763,0.123567414328,0.127532220731,0.143030343462
13,5.5,5.0,-0.4034012942,0.400036882855,1.08418588338,1.6026532506,1.96244570648,2.20591838304,2.38316474046,2.52924865023,2.65420633938,0.196418154964,0.152778994199,0.132914152527,0.125383011414,0.124507043155,0.127729114295,0.13551020839,0.155204280551,0.197864385202
14,5.5,10.0,-0.496184538827,0.148539270184,0.679777304018,1.05755089837,1.29458769761,1.43785057892,1.54061573525,1.63954380203,1.74469213305,0.187075077889,0.1444242642,0.125411482703,0.117689246999,0.115234681707,0.116960525922,0.124462864635,0.144123840092,0.186329261659
15,5.5,20.0,-0.506309776069,-0.128240876805,0.136831095235,0.260540539254,0.266760504061,0.212297169552,0.15823896975,0.146479160382,0.189420530886,0.226411691086,0.173367365647,0.146346688718,0.137612290404,0.140001288362,0.146473350315,0.155013735285,0.174418747859,0.22030074029
16,5.0,0.0,-0.137319406578,0.719360102394,1.4610528404,2.04188990451,2.46878100916,2.78333014537,3.03427052618,3.25481000167,3.45279802249,0.145632388631,0.126257413721,0.118422437256,0.113629650798,0.112571696499,0.114977801627,0.117621713989,0.12226558656,0.138916154788
17,5.0,5.0,-0.552000955747,0.00416045854136,0.453058859281,0.758842138998,0.937365418815,1.03746375414,1.11294049898,1.19970594029,1.3059768712,0.191226029658,0.146276626009,0.127253367167,0.121180933077,0.120868088195,0.122868661676,0.128249245983,0.146627589426,0.190605120614
18,5.0,10.0,-0.534236324953,-0.090778783437,0.239013848604,0.423354857448,0.482657972052,0.470498248161,0.44523324394,0.446776140344,0.486489084746,0.194711014583,0.148503735099,0.12817114418,0.121072762965,0.12053019157,0.123106213206,0.128341008032,0.144541249172,0.186773679982
19,5.0,20.0,-0.4742272359,-0.0590174158632,0.23803220578,0.387074039048,0.410877852574,0.365611409889,0.312229520995,0.292984153322,0.321065829455,0.218105225194,0.172743637286,0.149302176625,0.139037187262,0.137860500287,0.14196156442,0.150199496226,0.17020629901,0.216043651224
