,ph,mMacid,E[f(3.50)],E[f(5.00)],E[f(6.50)],E[f(8.00)],E[f(9.50)],E[f(11.00)],E[f(12.50)],E[f(14.00)],E[f(15.50)],std[f(3.50)],std[f(5.00)],std[f(6.50)],std[f(8.00)],std[f(9.50)],std[f(11.00)],std[f(12.50)],std[f(14.00)],std[f(15.50)]
0,7.0,0.0,0.589758269203,0.540270938374,0.442092135745,0.331887726999,0.240754052895,0.182794690713,0.154041845766,0.139262670873,0.121486216789,0.0561925824088,0.0325310694304,0.0251696226492,0.0242571584322,0.0235308676708,0.0215243789014,0.0244338958884,0.0316162572684,0.0578089759326
1,7.0,5.0,0.476513646216,0.421285134351,0.320314033395,0.210529566196,0.123077987741,0.0718990026385,0.0526719665161,0.049666670633,0.0453158446563,0.0615868996877,0.0371468234152,0.0289964534187,0.0275746341533,0.0272945401077,0.0267886338934,0.0300132942095,0.0364663200261,0.0621940666353
2,7.0,10.0,0.479923412021,0.425753711317,0.326030499869,0.217614112659,0.131566262571,0.0817181503463,0.063623771993,0.0614278793167,0.0574671801083,0.0616382464879,0.0374550797552,0.029117961151,0.0276586768283,0.0275045285152,0.0267179237938,0.0294496352431,0.0362083371559,0.0626114502676
3,7.0,20.0,0.52254699737,0.471917581235,0.375022284895,0.268501797125,0.183237141245,0.132930344046,0.113058566295,0.107743977895,0.0993595778463,0.0664257744599,0.0430615301126,0.0342514267643,0.0316028180209,0.03060442051,0.0297190934181,0.0326524244633,0.0397456700248,0.0651853690713
4,6.5,0.0,0.589157954218,0.539656181252,0.441465069017,0.331250958952,0.240111553916,0.182150745873,0.1534020808,0.138632402865,0.120869058647,0.0562740922286,0.0327066303549,0.0253816030956,0.0244395677836,0.023726340684,0.0218099344329,0.0247435489932,0.0318682136247,0.0579617312869
5,6.5,5.0,0.473398888821,0.416602196403,0.314075149931,0.202837778958,0.114129964922,0.0619728701523,0.042110832105,0.0388541940467,0.034647220855,0.072621291265,0.0476157289429,0.0368226693044,0.0327587887289,0.0315567684577,0.0320331295516,0.0373383971381,0.0464296576069,0.0715973538544
6,6.5,10.0,0.49288941366,0.440414064407,0.342045644818,0.234650903218,0.14930291464,0.09983362417,0.0817891252744,0.0792976884171,0.0746739948581,0.0705316053916,0.0468646789842,0.0369868561052,0.0329914063796,0.0313692462787,0.0319252099566,0.0380280230487,0.047783579172,0.073219348963
7,6.5,20.0,0.548736695509,0.501930290222,0.408162586939,0.303950123925,0.220061657286,0.170109254931,0.149515621161,0.142398198606,0.131186145263,0.0781504292324,0.0538395225083,0.0422720769116,0.036629500328,0.0347136010344,0.0360145750573,0.042166370674,0.0516274574631,0.0757642306403
8,6.0,0.0,0.589992967448,0.540482841301,0.442275352248,0.33203933028,0.240871524239,0.182878960398,0.154094714905,0.139287786203,0.12148745184,0.0562832345955,0.0325707092681,0.0252015610213,0.0243600175858,0.0237230283126,0.0217979659892,0.024706384295,0.0318369035803,0.0579205558708
9,6.0,5.0,0.503844616285,0.449004371482,0.347200232429,0.235483229991,0.145194311744,0.0905248855459,0.067427093876,0.0604403467838,0.0522395837111,0.0728214661635,0.0491765606277,0.0379149991452,0.0326491070294,0.0310745767571,0.0323330163412,0.0386718388627,0.0484642554808,0.0738934550228
10,6.0,10.0,0.529067970361,0.477088965428,0.377443395194,0.267080759571,0.177294731649,0.122261357973,0.0979496273928,0.0889495236802,0.0780294424636,0.0711963555825,0.0482196410901,0.0375534496141,0.0331623857888,0.0319683006904,0.0324192334407,0.0379845899328,0.0481934276424,0.0743994088691
11,6.0,20.0,0.557251313619,0.515005010997,0.425400242669,0.324653456131,0.243295583597,0.194791241053,0.174514794416,0.166633179037,0.153703931249,0.0766699886075,0.0523993883521,0.0409374796186,0.0361469751069,0.0348327043881,0.03571122835,0.0414666306005,0.0515801158793,0.0772513006435
12,5.5,0.0,0.590368947838,0.540863357519,0.442665470994,0.332439998527,0.241283594629,0.183298161234,0.154515919145,0.139702930511,0.121888383482,0.0564197430874,0.0327245071462,0.0253462471826,0.0244436677931,0.0237162967062,0.0217090753143,0.0246216075716,0.0318407674396,0.0580063089109
13,5.5,5.0,0.556162704046,0.504130405948,0.402868582838,0.28942684802,0.195336230977,0.135126829918,0.105208347347,0.090630548243,0.074579542139,0.0736893351165,0.0501268484544,0.0394657289571,0.0346388916585,0.0328827900528,0.0335939449639,0.0396625319057,0.0495111451814,0.0747055442377
14,5.5,10.0,0.449901489154,0.399519036418,0.304314626654,0.201027193406,0.120575141074,0.0766309550319,0.0645785012469,0.0683905833631,0.0702377504675,0.0715608241386,0.0486173855956,0.0376152313301,0.032546216795,0.0313171251899,0.0324298489482,0.0380063105298,0.0475305698549,0.0738637895428
15,5.5,20.0,0.274510107517,0.220624058361,0.129620835503,0.038215560976,-0.0232683287366,-0.042287953593,-0.0250174093738,0.0106643143416,0.0449655701479,0.0798168105132,0.0572200473619,0.0464874883704,0.0402772816401,0.036259922854,0.0356782385624,0.0428012858052,0.0554200691234,0.0819581148355
16,5.0,0.0,0.590438649301,0.540970487219,0.44281238289,0.332628002663,0.24151197144,0.183567423979,0.154824358017,0.140047734352,0.122266486404,0.0563045667598,0.0326438245155,0.0252909579367,0.024502751771,0.0239570147293,0.0220736899238,0.0248593446919,0.0318674280748,0.0579470915007
17,5.0,5.0,0.389819836526,0.342052706106,0.252461616494,0.157243712322,0.0865475380239,0.0531609625719,0.0515776083827,0.0649682855323,0.0748601320974,0.0743906961634,0.0504366870573,0.0391622146345,0.033752188595,0.0316347107624,0.0326714436089,0.0395904137442,0.0500058692606,0.0751344883375
18,5.0,10.0,0.317606201246,0.264363044609,0.171794148605,0.0765010641821,0.00886611530764,-0.0183218197755,-0.0108154229839,0.0140786677084,0.037235243476,0.074843491783,0.0511984045343,0.040100087274,0.0346904971888,0.0321239046107,0.0321245451062,0.0385382762484,0.0499424141464,0.0765168985221
19,5.0,20.0,0.300617354856,0.243844512671,0.148868426367,0.0526192132426,-0.0142979468267,-0.0390094260531,-0.0273523611081,0.00310680255267,0.0328331134757,0.0762680355892,0.0529506444207,0.0429913335211,0.0385119210531,0.0359765310928,0.0355883759103,0.0415243704468,0.0528773227959,0.079439508855
