,ph,mMacid,E[f(1.25)],E[f(2.00)],E[f(2.75)],E[f(3.50)],E[f(4.25)],E[f(5.00)],E[f(5.75)],E[f(6.50)],E[f(7.25)],std[f(1.25)],std[f(2.00)],std[f(2.75)],std[f(3.50)],std[f(4.25)],std[f(5.00)],std[f(5.75)],std[f(6.50)],std[f(7.25)]
0,6.5,5.0,-0.032456664070131036,-0.033008182856980386,-0.03238837115961494,-0.03060938703572763,-0.0277752083668552,-0.02407974592214719,-0.019791033527498187,-0.015220536704427329,-0.010685066173875572,0.021787464718582006,0.019303694754090214,0.01707807336794839,0.01514213782139579,0.013826524892698143,0.013825011707403786,0.015583039545221843,0.018676046507515816,0.022282740708628266
1,6.5,10.0,-0.05108630204493903,-0.051087644637488695,-0.04926405773909945,-0.04559917505217687,-0.04020742104263699,-0.03332396047049914,-0.02528587030598435,-0.016498935936583137,-0.00740150606804675,0.02970315838761039,0.028028916834445985,0.02610430291203002,0.024365626605663812,0.0233652673155109,0.023506294797306,0.02476796417448048,0.026741084607954213,0.028909757405184273
2,6.5,20.0,0.008146246578393647,0.00793609039144179,0.007428916391962165,0.006612645806972396,0.0054969943636811415,0.004117966867158702,0.0025409867123135474,0.000856645546858605,-0.0008323368126045659,0.028309505059434834,0.026091307474945053,0.02394533041405609,0.02231643418517247,0.0216225508367127,0.022050041034249727,0.02344117903743478,0.025400177435794903,0.027490153400275934
3,6.0,5.0,-0.05303980962589638,-0.05530094978761585,-0.05604675263946073,-0.05518330797114804,-0.05272733775771434,-0.04881037401258295,-0.04366334643396245,-0.037586815627590565,-0.030915117523677618,0.019359463882983284,0.01707983505113092,0.015274215625950372,0.013752108540769956,0.012542467285310513,0.012253575403603964,0.01372492161726306,0.016988805052164078,0.02130033368371598
4,6.0,10.0,-0.005954665425873575,-0.005829767641693319,-0.005377107043430529,-0.004621402262913633,-0.003616852364950151,-0.0024413000661907243,-0.0011848706636135473,5.982565854883369e-05,0.001207844415791755,0.027455126659543923,0.02562810571164122,0.023966158628787454,0.02281280731370797,0.022465762366954026,0.023031076629242735,0.024363064856961197,0.026152502793749012,0.02806435401268741
5,6.0,20.0,-0.005888347536046485,-0.004414018901676423,-0.0024109235117037264,-6.937911744084218e-05,0.002377096042676053,0.004678198279167905,0.0065983281450275435,0.0079470983862345,0.008601877975866954,0.027807084984205463,0.025544451575424912,0.0234684690114631,0.02204900591761073,0.021635081903465688,0.022259034093182684,0.02363939271363942,0.025384577788390098,0.027170891829621374
6,5.5,5.0,-0.0969522856139184,-0.0983606394214123,-0.0972155469404235,-0.09351041752666633,-0.08738302020000042,-0.07910919649736536,-0.0690841580707224,-0.05779155367682273,-0.045756491691676594,0.024461083838988085,0.022599696250253674,0.020581911346002443,0.01835520229851578,0.016367494480235577,0.0157829306228956,0.01782571716963813,0.022297405129476696,0.027949936734838778
7,5.5,10.0,0.011432587287799407,0.011288671281334067,0.010699882403685815,0.00971989494965128,0.008424824477110012,0.0069028166737998865,0.005244352671799121,0.0035339569421731437,0.001845237914880898,0.02836010764905648,0.026394738030598313,0.024518404788650743,0.023151973808584067,0.022664752437670452,0.023185075281357246,0.02453676379886126,0.02636424882836843,0.02829733157338973
8,5.5,20.0,-0.016806863781942162,-0.018499960000729117,-0.01960852045599719,-0.02003312125523036,-0.019718616070629358,-0.018661190955631627,-0.016910562813109053,-0.014566941106305069,-0.01176773141962366,0.028064570942571133,0.02642737458451225,0.024869700098599918,0.023711866029458708,0.023240394345113987,0.023577852875778522,0.02461366451222246,0.026071638555098094,0.027644514521456
9,5.0,5.0,-0.054686402828016394,-0.057458848269743235,-0.058807263294425656,-0.058604471391474684,-0.05682636872637149,-0.05355209024429553,-0.04895202884736587,-0.043266362954889996,-0.03678305904615109,0.019321403096537654,0.016690011314565472,0.014685739124089684,0.013223348027566873,0.012331698267051713,0.012379782195890778,0.013850799763523821,0.01677779492641159,0.020681098542177662
10,5.0,10.0,0.010652796060288457,0.00959397299793374,0.008455599147259681,0.007183503231318557,0.005716175665175619,0.00399942044468582,0.002000002025729613,-0.0002822809822627991,-0.0028072659998402347,0.02880245602204162,0.026752973337616837,0.024851614600065547,0.023517006824830284,0.0230742165993894,0.02359657829792176,0.02487320068863104,0.02654197981520454,0.028258424863679524
11,5.0,20.0,-0.014797716267876786,-0.015807493636216887,-0.01636147513625836,-0.016379289462751516,-0.01580919230470879,-0.014634853417775498,-0.012879871453204158,-0.010608716942066821,-0.007922885967050762,0.02783112565737578,0.02592441687747174,0.024271999046297787,0.023207508034528018,0.022969251658593662,0.02357886417444794,0.02483716898443294,0.026443114508708076,0.028118228193994364
