,ph,mMacid,E[f(1.25)],E[f(2.00)],E[f(2.75)],E[f(3.50)],E[f(4.25)],E[f(5.00)],E[f(5.75)],E[f(6.75)],E[f(7.50)],E[f(8.25)],E[f(9.00)],E[f(9.75)],E[f(10.50)],E[f(11.25)],E[f(12.25)],E[f(13.25)],E[f(14.25)],E[f(15.25)],E[f(16.00)],E[f(17.00)],E[f(17.75)],E[f(18.50)],E[f(19.25)],E[f(20.25)],E[f(21.25)],E[f(22.00)],E[f(23.00)],E[f(24.00)],std[f(1.25)],std[f(2.00)],std[f(2.75)],std[f(3.50)],std[f(4.25)],std[f(5.00)],std[f(5.75)],std[f(6.75)],std[f(7.50)],std[f(8.25)],std[f(9.00)],std[f(9.75)],std[f(10.50)],std[f(11.25)],std[f(12.25)],std[f(13.25)],std[f(14.25)],std[f(15.25)],std[f(16.00)],std[f(17.00)],std[f(17.75)],std[f(18.50)],std[f(19.25)],std[f(20.25)],std[f(21.25)],std[f(22.00)],std[f(23.00)],std[f(24.00)]
0,7.0,0.0,0.431117567746,0.486194182201,0.528961407606,0.557553300858,0.570794600399,0.568298738643,0.550512792998,0.505320188567,0.45807647029,0.402468171678,0.341695650147,0.279126680502,0.218072700797,0.161564133879,0.0976182847848,0.0504734276572,0.0219982896176,0.0116101519216,0.0140895539146,0.0276638736397,0.0426774024654,0.0591999764353,0.0749074617463,0.0909857211479,0.0978986161963,0.0954666022459,0.0811378940534,0.0544322433523,0.0661281508868,0.0513968511161,0.0400857029081,0.0325791970144,0.0284477498793,0.0263789924538,0.0249489175121,0.022732788823,0.0208223102177,0.0192424912506,0.0186069256106,0.0191376968948,0.0204381266471,0.0218108378832,0.0227799308194,0.0222631391786,0.0206162856869,0.0190569532486,0.0188552261875,0.0203020140096,0.0221586089879,0.0240151913387,0.0254917241556,0.0270555859531,0.0299635402164,0.0349989997584,0.0473222277743,0.0658429287051
1,7.0,5.0,0.432292298108,0.487373270127,0.530144898811,0.558741624158,0.571986756711,0.569494644804,0.55171288886,0.506524769794,0.459284804161,0.403679959907,0.342910718825,0.280344791741,0.219294256238,0.162788820395,0.0988473390357,0.0517063467041,0.023235511849,0.0128513758861,0.0153344697684,0.0289129014873,0.0439303683449,0.060456105977,0.0761671695458,0.0922508425123,0.0991691240186,0.096741510965,0.0824183388045,0.0557190586359,0.0661591672143,0.0514931047261,0.0402665527589,0.0328534867169,0.0288005219838,0.0267821043247,0.0253828910186,0.0232015891012,0.0213174085212,0.0197562297732,0.0191136315987,0.019607782305,0.0208585663155,0.0221886072457,0.0231237011819,0.0225991989236,0.0209665091693,0.0194251501465,0.0192236188554,0.0206468397934,0.0224836893223,0.0243331680935,0.025817436424,0.0274118079924,0.0303455752198,0.0353709247894,0.0476425160949,0.066101673244
2,7.0,10.0,0.429495015866,0.484575432414,0.527347395199,0.555944047138,0.569190013447,0.566699873576,0.548919920114,0.503735621424,0.456499145343,0.40089781081,0.340133154132,0.277572241967,0.216526552828,0.160026937483,0.0960933769511,0.048961791767,0.0205001678522,0.0101258514835,0.0126162358,0.0262049605938,0.0412304300773,0.0577642532776,0.0734833278278,0.0895773126711,0.0965057544163,0.0940856044324,0.0797728564403,0.0530830738492,0.0664190094404,0.0516827343077,0.0403509272241,0.032799994757,0.0286028981164,0.026468030883,0.0249874241296,0.0227353289449,0.020819035228,0.0192494385949,0.0186347167748,0.0191868654925,0.0205037358608,0.0218868059098,0.0228639065191,0.0223526565219,0.0207117684743,0.0191583009408,0.0189572705673,0.0204027264398,0.0222604821101,0.0241237123885,0.0256140676203,0.0272037529942,0.0301312834085,0.0351638254862,0.0474596190668,0.0659451859826
3,7.0,20.0,0.426274806526,0.481357166287,0.524130456662,0.552729260014,0.565977403183,0.563489277723,0.54571159554,0.500530924157,0.453296803124,0.397698462363,0.336936443477,0.27437843329,0.213336141351,0.156839709903,0.0929109649323,0.0457839366889,0.0173271759526,0.00695868499481,0.00945350835335,0.0230489337561,0.0380786528289,0.0546179406966,0.0703424765537,0.086444214101,0.0933810888821,0.0909671661921,0.0766633069909,0.0499829339233,0.0666621703831,0.0519202025157,0.0405909407003,0.0330530906053,0.0288813262087,0.0267855975686,0.0253612617036,0.0232187117655,0.0214093805729,0.0199502629405,0.0194181774236,0.0200015917029,0.0213107209323,0.0226780402021,0.023653319222,0.0231716842462,0.0215803080655,0.0200480056716,0.0197994644007,0.0210928297342,0.0228174206237,0.0245623424811,0.0259561213214,0.0274451405036,0.0302962124001,0.035285546355,0.0475472104815,0.0660205723158
4,6.5,0.0,0.396386728252,0.457309141561,0.506518829579,0.541973199761,0.562316684855,0.566988718412,0.556274574146,0.520120590307,0.479214087235,0.429465183989,0.374010232552,0.316170638759,0.259224122669,0.206178755848,0.145814631165,0.101038113508,0.0736896100143,0.0631745007227,0.0647437548071,0.076057618974,0.088639204035,0.102158125483,0.114359342191,0.125126518426,0.126207163754,0.119204286408,0.0987205245869,0.0660131759474,0.0826755409356,0.0672890072573,0.0550857869112,0.0463243665026,0.0406981981419,0.0373332125279,0.0351729719715,0.0328629269028,0.0311887702574,0.0296481286139,0.0284691835083,0.0278107478337,0.0276413388506,0.0277486249062,0.0278969786744,0.0277957823098,0.0276731285532,0.0280954313901,0.0290292117201,0.0310256418481,0.0328150306225,0.0346256150675,0.0364310614955,0.0393773003449,0.0445496373927,0.0512255053878,0.0650092196295,0.0843215745631
5,6.5,5.0,0.362201391534,0.411094985954,0.448707289933,0.473240196836,0.483571947492,0.479370130918,0.461130891084,0.417360563978,0.372756308445,0.321166072497,0.265804054552,0.210028584628,0.157110849838,0.110009420068,0.0603868453778,0.0292627525981,0.0180386446058,0.0255835608712,0.0416063250087,0.0728844722215,0.100595448211,0.129066978166,0.155774401518,0.184750962293,0.202249862141,0.206104813946,0.197857718553,0.174577970452,0.106890183156,0.0880692485738,0.0720702237416,0.0592151758286,0.0495272240375,0.0426723073895,0.0380340435452,0.0341408365101,0.0323249311715,0.0312187057405,0.0307515070449,0.0308176070793,0.0312075229713,0.031640583484,0.0318689800456,0.0315012757341,0.0308085854432,0.0304289595903,0.0307308415884,0.0321201052277,0.0338345125814,0.0360600517152,0.0389102209313,0.0444144118356,0.0533776504678,0.0633626784112,0.0816828302359,0.105490774286
6,6.5,10.0,0.244401935787,0.302945237151,0.351052500491,0.38670978321,0.408578282939,0.41609976941,0.409545879005,0.380930219096,0.347113938529,0.30561984982,0.259509943703,0.212019081968,0.16632238814,0.125318038836,0.0820241369852,0.055186613211,0.0463050448307,0.054427345654,0.0698671298665,0.0992385812687,0.12484184854,0.150771958803,0.174639389418,0.199585676254,0.213032701678,0.213982429466,0.202201540298,0.175918067499,0.105880076112,0.0875282021356,0.0719169532904,0.0593385661247,0.0497957680142,0.0429673338365,0.0382878707184,0.0343297788858,0.0324991025697,0.0313921156263,0.0308997500444,0.0308840720532,0.0311350710758,0.0313978365642,0.0314370040702,0.0310303913941,0.0304975011,0.0303991487016,0.03087188158,0.0322906334884,0.0338821333853,0.0359626694565,0.0387979290444,0.044720293121,0.0546328049133,0.0654803261002,0.084799338703,0.10919227738
7,6.5,20.0,0.0665409826204,0.144756518138,0.214064313907,0.271953741403,0.316551036113,0.346744648009,0.362245357681,0.361124376249,0.345818142648,0.320497238367,0.287807468745,0.250636885093,0.211899946578,0.174314027468,0.129941343497,0.095663809696,0.0733480311543,0.0626924919301,0.061071978473,0.0645886701252,0.0691295192884,0.0731741274336,0.0748928239574,0.0708695066434,0.0571631868969,0.039650553839,0.00662726472987,-0.0362586145477,0.10911262071,0.0905146411519,0.0745883448681,0.0616039130074,0.0515613713841,0.0441707932037,0.038936277143,0.0344029607952,0.0323577515325,0.0312693363051,0.031018626397,0.031404197486,0.0321074165666,0.0327659947244,0.0330837243348,0.0325320074805,0.0313989945632,0.0304179339443,0.0302870078285,0.0313444116744,0.033111322652,0.0356912440243,0.0391769097572,0.0457903739928,0.0557629616924,0.0661665449721,0.0844321242302,0.107565258243
8,6.0,0.0,0.281978843993,0.341769588089,0.392720818406,0.432822583516,0.460616371662,0.47530247563,0.476802401786,0.459522266275,0.433977799366,0.399940411094,0.359923329298,0.316654129578,0.272882178966,0.231174455164,0.1825214615,0.145181635172,0.120955338078,0.109572741999,0.108244200631,0.113362922878,0.120070557759,0.12712845247,0.132694658123,0.134990266653,0.128715437081,0.117269490376,0.0925686224689,0.0577076289537,0.0840382919139,0.0691552208501,0.0573640270937,0.0487245810909,0.042808367947,0.038817404135,0.0359174461506,0.0328196962723,0.030855517834,0.0292923137291,0.0282750794631,0.0278425018163,0.0278647871409,0.0280954940736,0.0283249893189,0.0282430351795,0.028033295182,0.0281849875239,0.0288102573099,0.0304104553057,0.0320517763346,0.0339086938382,0.035933944103,0.0392618718253,0.0446016878432,0.0511432701722,0.0645131307385,0.0833981752043
9,6.0,5.0,0.205628104504,0.262444570885,0.311414115672,0.35058006777,0.378515228415,0.394433891133,0.398249409937,0.385681879699,0.364819965464,0.336361082462,0.302720556951,0.266510404325,0.230352492319,0.196672131994,0.159112816878,0.132983017478,0.119729332158,0.118745950254,0.12465636997,0.138466502425,0.150852273042,0.162786714299,0.172377181533,0.178661894257,0.174789916904,0.164129634723,0.139191554782,0.102751061751,0.103651412949,0.0852427809864,0.0697136089771,0.0573204974562,0.0480261374323,0.0414776150203,0.0370797516315,0.0334811389638,0.031879599964,0.0309370550104,0.0305192526022,0.0304954907207,0.0306949070619,0.0309198057273,0.030992844573,0.0307017627993,0.0302874932719,0.0302305423171,0.0307015242941,0.0321692932429,0.0338767139855,0.0361019929955,0.038997347666,0.044630333982,0.0537645762226,0.0638885839367,0.0824114120426,0.106427577209
